Bulgaria, Life tables (period 1x10), Females	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1947-1949        0      0.12408  0.11435  0.31  100000   11435   92157  5758467  57.58
1947-1949        1      0.02590  0.02557  0.50   88565    2265   87433  5666310  63.98
1947-1949        2      0.01216  0.01208  0.50   86301    1043   85780  5578877  64.64
1947-1949        3      0.00638  0.00636  0.50   85258     542   84987  5493097  64.43
1947-1949        4      0.00458  0.00457  0.50   84716     387   84522  5408110  63.84
1947-1949        5      0.00328  0.00328  0.50   84329     276   84191  5323588  63.13
1947-1949        6      0.00258  0.00257  0.50   84053     216   83945  5239397  62.33
1947-1949        7      0.00226  0.00226  0.50   83836     189   83742  5155453  61.49
1947-1949        8      0.00200  0.00200  0.50   83647     167   83563  5071711  60.63
1947-1949        9      0.00172  0.00172  0.50   83480     144   83408  4988148  59.75
1947-1949       10      0.00170  0.00170  0.50   83336     142   83265  4904740  58.86
1947-1949       11      0.00169  0.00169  0.50   83194     140   83124  4821475  57.95
1947-1949       12      0.00187  0.00187  0.50   83054     156   82976  4738351  57.05
1947-1949       13      0.00194  0.00194  0.50   82898     161   82818  4655375  56.16
1947-1949       14      0.00218  0.00218  0.50   82737     180   82647  4572558  55.27
1947-1949       15      0.00259  0.00259  0.50   82557     214   82450  4489911  54.39
1947-1949       16      0.00295  0.00295  0.50   82343     243   82222  4407460  53.53
1947-1949       17      0.00371  0.00370  0.50   82100     304   81948  4325239  52.68
1947-1949       18      0.00379  0.00378  0.50   81797     309   81642  4243290  51.88
1947-1949       19      0.00439  0.00438  0.50   81488     357   81309  4161648  51.07
1947-1949       20      0.00480  0.00478  0.50   81131     388   80937  4080339  50.29
1947-1949       21      0.00427  0.00426  0.50   80743     344   80571  3999402  49.53
1947-1949       22      0.00468  0.00467  0.50   80399     375   80211  3918831  48.74
1947-1949       23      0.00457  0.00456  0.50   80023     365   79841  3838621  47.97
